RAW 286 person  Left=1596, Top=707, Right=1611, Bottom=742

RAW 287 person  Left=1392, Top=763, Right=1414, Bottom=813

RAW 288 person  Left=1391, Top=763, Right=1414, Bottom=811

RAW 289 person  Left=1392, Top=760, Right=1413, Bottom=816

RAW 290 person  Left=1390, Top=763, Right=1414, Bottom=814

RAW 291 person  Left=1390, Top=765, Right=1414, Bottom=812

RAW 292 person  Left=1392, Top=765, Right=1412, Bottom=812

RAW 293 person  Left=1390, Top=765, Right=1412, Bottom=812

RAW 294 person  Left=1391, Top=765, Right=1412, Bottom=812

RAW 295 person  Left=1390, Top=763, Right=1412, Bottom=814

RAW 296 person  Left=1389, Top=764, Right=1411, Bottom=813

RAW 297 person  Left=1389, Top=764, Right=1410, Bottom=812

RAW 298 person  Left=1388, Top=762, Right=1411, Bottom=814

RAW 299 person  Left=1387, Top=761, Right=1411, Bottom=815

RAW 300 person  Left=1386, Top=765, Right=1411, Bottom=811

RAW 301 person  Left=1386, Top=762, Right=1408, Bottom=815

RAW 302 person  Left=1384, Top=762, Right=1410, Bottom=815

RAW 303 person  Left=1384, Top=759, Right=1408, Bottom=818

RAW 304 person  Left=1383, Top=761, Right=1406, Bottom=812

RAW 305 person  Left=1381, Top=760, Right=1404, Bottom=813

RAW 306 person  Left=1380, Top=760, Right=1404, Bottom=813

RAW 307 person  Left=1381, Top=759, Right=1402, Bottom=812

RAW 308 person  Left=1382, Top=761, Right=1401, Bottom=814

RAW 309 person  Left=1380, Top=758, Right=1402, Bottom=815

RAW 310 person  Left=1381, Top=763, Right=1401, Bottom=808

RAW 311 person  Left=1377, Top=760, Right=1397, Bottom=809

RAW 312 person  Left=1378, Top=759, Right=1397, Bottom=808

RAW 313 person  Left=1377, Top=760, Right=1398, Bottom=810

RAW 314 person  Left=1376, Top=761, Right=1397, Bottom=811

RAW 315 person  Left=1377, Top=760, Right=1396, Bottom=809

RAW 316 person  Left=1376, Top=760, Right=1397, Bottom=811

RAW 317 person  Left=1376, Top=761, Right=1395, Bottom=810

RAW 318 person  Left=1375, Top=760, Right=1395, Bottom=808

RAW 319 person  Left=1372, Top=761, Right=1394, Bottom=806

RAW 320 person  Left=1370, Top=761, Right=1393, Bottom=804

RAW 321 person  Left=1369, Top=761, Right=1394, Bottom=806

RAW 322 person  Left=1367, Top=762, Right=1391, Bottom=805

RAW 323 person  Left=1366, Top=762, Right=1390, Bottom=805

RAW 324 person  Left=1365, Top=761, Right=1389, Bottom=805

RAW 325 person  Left=1364, Top=760, Right=1389, Bottom=806

RAW 326 person  Left=1364, Top=760, Right=1389, Bottom=806

RAW 327 person  Left=1365, Top=760, Right=1387, Bottom=806

RAW 328 person  Left=1363, Top=759, Right=1386, Bottom=806

RAW 329 person  Left=1362, Top=756, Right=1384, Bottom=807

RAW 330 person  Left=1362, Top=755, Right=1382, Bottom=806

RAW 331 person  Left=1361, Top=754, Right=1383, Bottom=808

RAW 332 person  Left=1361, Top=753, Right=1383, Bottom=807

RAW 333 person  Left=1363, Top=752, Right=1380, Bottom=804

RAW 334 person  Left=1362, Top=754, Right=1379, Bottom=804

RAW 335 person  Left=1360, Top=751, Right=1379, Bottom=807

RAW 336 person  Left=1360, Top=753, Right=1377, Bottom=807

RAW 337 person  Left=1358, Top=751, Right=1376, Bottom=809

RAW 338 person  Left=1357, Top=752, Right=1377, Bottom=808

RAW 339 person  Left=1357, Top=751, Right=1376, Bottom=810

RAW 340 person  Left=1357, Top=753, Right=1376, Bottom=803

RAW 341 person  Left=1356, Top=754, Right=1377, Bottom=803

RAW 342 person  Left=1351, Top=755, Right=1372, Bottom=801

RAW 344 person  Left=1351, Top=753, Right=1373, Bottom=801

RAW 345 person  Left=1349, Top=753, Right=1373, Bottom=801

RAW 346 person  Left=1349, Top=754, Right=1372, Bottom=801

RAW 347 person  Left=1346, Top=755, Right=1371, Bottom=799

RAW 348 person  Left=1346, Top=752, Right=1371, Bottom=801

RAW 349 person  Left=1344, Top=754, Right=1369, Bottom=799

RAW 350 person  Left=1344, Top=752, Right=1367, Bottom=799

RAW 351 person  Left=1343, Top=752, Right=1365, Bottom=797

RAW 352 person  Left=1342, Top=753, Right=1365, Bottom=796

RAW 353 person  Left=1343, Top=750, Right=1363, Bottom=797

RAW 354 person  Left=1342, Top=751, Right=1362, Bottom=796

RAW 355 person  Left=1340, Top=750, Right=1359, Bottom=799

RAW 356 person  Left=1341, Top=748, Right=1360, Bottom=795

RAW 357 person  Left=1340, Top=751, Right=1360, Bottom=794

RAW 358 person  Left=1339, Top=749, Right=1358, Bottom=794

RAW 359 person  Left=1337, Top=751, Right=1358, Bottom=797

RAW 360 person  Left=1338, Top=752, Right=1359, Bottom=795

RAW 361 person  Left=1334, Top=750, Right=1357, Bottom=798

RAW 362 person  Left=1332, Top=747, Right=1354, Bottom=799

RAW 363 person  Left=1329, Top=749, Right=1354, Bottom=798

RAW 364 person  Left=1330, Top=748, Right=1355, Bottom=798

RAW 365 person  Left=1328, Top=747, Right=1354, Bottom=797

RAW 366 person  Left=1328, Top=747, Right=1355, Bottom=798

RAW 368 person  Left=1323, Top=746, Right=1350, Bottom=797

RAW 369 person  Left=1324, Top=747, Right=1348, Bottom=797

RAW 370 person  Left=1324, Top=744, Right=1346, Bottom=798

RAW 371 person  Left=1322, Top=750, Right=1347, Bottom=796

RAW 372 person  Left=1323, Top=740, Right=1345, Bottom=790

RAW 373 person  Left=1322, Top=740, Right=1343, Bottom=789

RAW 374 person  Left=1321, Top=740, Right=1342, Bottom=788

RAW 375 person  Left=1320, Top=739, Right=1340, Bottom=788

RAW 376 person  Left=1319, Top=738, Right=1339, Bottom=789

RAW 377 person  Left=1318, Top=738, Right=1338, Bottom=790

RAW 378 person  Left=1317, Top=738, Right=1337, Bottom=788

RAW 379 person  Left=1317, Top=738, Right=1337, Bottom=790

RAW 380 person  Left=1315, Top=737, Right=1335, Bottom=790

RAW 381 person  Left=1313, Top=738, Right=1333, Bottom=790

RAW 382 person  Left=1315, Top=738, Right=1334, Bottom=788

RAW 383 person  Left=1313, Top=737, Right=1334, Bottom=789

RAW 384 person  Left=1312, Top=738, Right=1333, Bottom=789

RAW 385 person  Left=1312, Top=739, Right=1333, Bottom=788

RAW 386 person  Left=1310, Top=737, Right=1330, Bottom=785

RAW 387 person  Left=1307, Top=739, Right=1329, Bottom=785

RAW 388 person  Left=1305, Top=735, Right=1328, Bottom=789

RAW 389 person  Left=1304, Top=736, Right=1328, Bottom=789

