RAW 17 car  Left=116, Top=257, Right=195, Bottom=286

RAW 17 car  Left=620, Top=246, Right=663, Bottom=275

RAW 17 car  Left=776, Top=255, Right=829, Bottom=288

RAW 18 car  Left=824, Top=250, Right=954, Bottom=312

RAW 18 car  Left=620, Top=246, Right=663, Bottom=276

RAW 18 car  Left=778, Top=255, Right=828, Bottom=291

RAW 19 car  Left=826, Top=248, Right=953, Bottom=311

RAW 19 car  Left=622, Top=246, Right=662, Bottom=274

RAW 19 car  Left=120, Top=258, Right=195, Bottom=285

RAW 19 car  Left=779, Top=255, Right=828, Bottom=287

RAW 20 car  Left=829, Top=248, Right=951, Bottom=312

RAW 20 car  Left=619, Top=245, Right=663, Bottom=273

RAW 20 car  Left=777, Top=255, Right=829, Bottom=292

RAW 20 car  Left=118, Top=257, Right=194, Bottom=286

RAW 21 car  Left=827, Top=249, Right=951, Bottom=313

RAW 21 car  Left=619, Top=245, Right=663, Bottom=273

RAW 21 car  Left=776, Top=255, Right=828, Bottom=291

RAW 21 car  Left=117, Top=256, Right=193, Bottom=285

RAW 21 car  Left=452, Top=256, Right=620, Bottom=302

RAW 22 car  Left=829, Top=249, Right=952, Bottom=309

RAW 22 car  Left=778, Top=254, Right=828, Bottom=288

RAW 22 car  Left=621, Top=247, Right=662, Bottom=274

RAW 23 car  Left=829, Top=249, Right=952, Bottom=314

RAW 23 car  Left=620, Top=245, Right=662, Bottom=273

RAW 23 car  Left=777, Top=254, Right=830, Bottom=292

RAW 23 car  Left=206, Top=246, Right=252, Bottom=272

RAW 24 car  Left=814, Top=250, Right=945, Bottom=310

RAW 24 car  Left=620, Top=245, Right=662, Bottom=275

RAW 24 car  Left=777, Top=255, Right=830, Bottom=293

RAW 24 car  Left=119, Top=257, Right=197, Bottom=286

RAW 25 car  Left=815, Top=250, Right=944, Bottom=308

RAW 25 car  Left=621, Top=245, Right=662, Bottom=274

RAW 25 car  Left=776, Top=254, Right=828, Bottom=290

RAW 26 car  Left=828, Top=248, Right=952, Bottom=310

RAW 26 car  Left=619, Top=246, Right=663, Bottom=274

RAW 26 car  Left=775, Top=254, Right=829, Bottom=292

RAW 27 car  Left=828, Top=248, Right=953, Bottom=311

RAW 27 car  Left=621, Top=245, Right=663, Bottom=274

RAW 27 car  Left=778, Top=255, Right=829, Bottom=292

RAW 27 car  Left=207, Top=246, Right=251, Bottom=269

RAW 28 car  Left=831, Top=248, Right=952, Bottom=306

RAW 28 car  Left=621, Top=246, Right=663, Bottom=273

RAW 28 car  Left=776, Top=254, Right=830, Bottom=293

RAW 29 car  Left=826, Top=249, Right=953, Bottom=314

RAW 29 car  Left=621, Top=245, Right=662, Bottom=273

RAW 29 car  Left=778, Top=255, Right=829, Bottom=289

RAW 30 car  Left=828, Top=249, Right=953, Bottom=311

RAW 30 car  Left=621, Top=245, Right=662, Bottom=275

RAW 30 car  Left=775, Top=243, Right=829, Bottom=286

RAW 31 car  Left=830, Top=247, Right=952, Bottom=313

RAW 31 car  Left=620, Top=246, Right=663, Bottom=275

RAW 31 car  Left=777, Top=255, Right=830, Bottom=291

RAW 32 car  Left=828, Top=249, Right=953, Bottom=309

RAW 32 car  Left=775, Top=255, Right=831, Bottom=293

RAW 32 car  Left=620, Top=246, Right=662, Bottom=273

RAW 33 car  Left=832, Top=250, Right=952, Bottom=311

RAW 33 car  Left=618, Top=245, Right=664, Bottom=275

RAW 33 car  Left=775, Top=244, Right=829, Bottom=286

RAW 33 car  Left=119, Top=257, Right=196, Bottom=286

RAW 34 car  Left=829, Top=250, Right=952, Bottom=311

RAW 34 car  Left=776, Top=255, Right=829, Bottom=292

RAW 34 car  Left=620, Top=245, Right=663, Bottom=276

RAW 34 car  Left=116, Top=257, Right=194, Bottom=285

