RAW 340 person  Left=995, Top=554, Right=1014, Bottom=602

RAW 341 person  Left=996, Top=554, Right=1016, Bottom=603

RAW 342 person  Left=996, Top=554, Right=1015, Bottom=603

RAW 343 person  Left=995, Top=554, Right=1014, Bottom=601

RAW 344 person  Left=993, Top=550, Right=1015, Bottom=601

RAW 344 person  Left=964, Top=538, Right=985, Bottom=580

RAW 345 person  Left=886, Top=548, Right=902, Bottom=603

RAW 345 person  Left=1007, Top=555, Right=1034, Bottom=595

RAW 345 person  Left=866, Top=540, Right=885, Bottom=619

RAW 347 person  Left=994, Top=541, Right=1038, Bottom=611

RAW 348 person  Left=1006, Top=555, Right=1037, Bottom=601

RAW 349 person  Left=1009, Top=557, Right=1036, Bottom=599

RAW 350 person  Left=1009, Top=557, Right=1036, Bottom=597

RAW 351 person  Left=1010, Top=558, Right=1036, Bottom=601

RAW 352 person  Left=1011, Top=556, Right=1039, Bottom=602

RAW 353 person  Left=1011, Top=555, Right=1039, Bottom=601

RAW 354 person  Left=1012, Top=556, Right=1040, Bottom=601

RAW 355 person  Left=1013, Top=558, Right=1040, Bottom=600

RAW 356 person  Left=1014, Top=559, Right=1038, Bottom=601

RAW 357 person  Left=1016, Top=559, Right=1040, Bottom=599

RAW 365 person  Left=1036, Top=562, Right=1056, Bottom=601

RAW 366 person  Left=1035, Top=560, Right=1057, Bottom=603

RAW 367 person  Left=1035, Top=558, Right=1059, Bottom=605

RAW 368 person  Left=1036, Top=558, Right=1061, Bottom=604

RAW 369 person  Left=1037, Top=561, Right=1061, Bottom=605

RAW 370 person  Left=1038, Top=559, Right=1064, Bottom=607

RAW 371 person  Left=1038, Top=557, Right=1065, Bottom=607

RAW 372 person  Left=1039, Top=556, Right=1068, Bottom=608

RAW 373 person  Left=1036, Top=541, Right=1073, Bottom=615

RAW 380 person  Left=1053, Top=580, Right=1079, Bottom=617

RAW 382 person  Left=1058, Top=557, Right=1081, Bottom=611

RAW 383 person  Left=1059, Top=556, Right=1082, Bottom=610

RAW 384 person  Left=1059, Top=580, Right=1083, Bottom=618

RAW 388 person  Left=1071, Top=577, Right=1091, Bottom=620

RAW 389 person  Left=1074, Top=575, Right=1092, Bottom=619

RAW 389 person  Left=1283, Top=572, Right=1309, Bottom=632

RAW 390 person  Left=1075, Top=578, Right=1093, Bottom=616

RAW 391 person  Left=1078, Top=575, Right=1099, Bottom=619

RAW 392 person  Left=1079, Top=577, Right=1102, Bottom=618

RAW 393 person  Left=1081, Top=576, Right=1105, Bottom=618

RAW 393 person  Left=1287, Top=573, Right=1313, Bottom=637

RAW 394 person  Left=1082, Top=575, Right=1108, Bottom=619

RAW 395 person  Left=1079, Top=549, Right=1118, Bottom=619

RAW 395 person  Left=861, Top=553, Right=879, Bottom=608

RAW 396 person  Left=1079, Top=550, Right=1122, Bottom=621

